suite,task_id,method_key,local_accuracy,local_num_samples,paper_accuracy,delta_local_minus_paper
main,boolean_expressions,mars,0.888,250,0.9317,-0.04369999999999996
main,disambiguation_qa,mars,0.648,250,0.7189,-0.07089999999999996
main,formal_fallacies,mars,0.996,250,0.747,0.249
main,geometric_shapes,mars,0.736,250,0.5943999999999999,0.14160000000000006
main,ruin_names,mars,0.86,250,0.9036,-0.04359999999999997
main,sports_understanding,mars,0.832,250,0.8795000000000001,-0.0475000000000001
main,college_biology,mars,0.8680555555555556,144,0.9790000000000001,-0.11094444444444451
main,college_medicine,mars,0.8497109826589595,173,0.8604999999999999,-0.01078901734104043
main,electrical_engineering,mars,0.8551724137931035,145,0.8403,0.014872413793103445
main,high_school_world_history,mars,0.8860759493670886,237,0.9322,-0.04612405063291147
main,human_aging,mars,0.8071748878923767,223,0.8559,-0.048725112107623314
main,marketing,mars,0.9444444444444444,234,0.97,-0.025555555555555554
