task_id,display_name,group,paper_mars_accuracy,our_best_accuracy,our_final_accuracy,delta_best_minus_paper,delta_final_minus_paper,best_iteration,num_samples,num_success,num_failed,status,stopped_reason,total_runtime_seconds
boolean_expressions,B.E.,BBH,93.17,100.0,100.0,6.83,6.83,1.0,1,1,0,success,max_iterations,19.0316
disambiguation_qa,D.QA,BBH,71.89,100.0,100.0,28.11,28.11,1.0,1,1,0,success,max_iterations,19.1891
formal_fallacies,F.F.,BBH,74.7,100.0,100.0,25.3,25.3,1.0,1,1,0,success,max_iterations,21.2163
geometric_shapes,G.S.,BBH,59.44,100.0,100.0,40.56,40.56,1.0,1,1,0,success,max_iterations,18.462
ruin_names,R.N.,BBH,90.36,100.0,100.0,9.64,9.64,1.0,1,1,0,success,max_iterations,19.9683
sports_understanding,S.U.,BBH,87.95,100.0,100.0,12.05,12.05,1.0,1,1,0,success,max_iterations,17.0449
marketing,M.T.,MMLU,97.0,100.0,100.0,3.0,3.0,1.0,1,1,0,success,max_iterations,15.5293
human_aging,H.A.,MMLU,85.59,100.0,100.0,14.41,14.41,1.0,1,1,0,success,max_iterations,19.4629
high_school_world_history,W.H.,MMLU,93.22,100.0,100.0,6.78,6.78,1.0,1,1,0,success,max_iterations,20.2978
electrical_engineering,E.E.,MMLU,84.03,100.0,100.0,15.97,15.97,1.0,1,1,0,success,max_iterations,24.3883
college_medicine,C.M.,MMLU,86.05,100.0,100.0,13.95,13.95,1.0,1,1,0,success,max_iterations,20.8622
college_biology,C.B.,MMLU,97.9,0.0,0.0,-97.9,-97.9,1.0,1,0,1,success,max_iterations,19.1012
art_studies,A.S.,C-EVAL,81.25,100.0,100.0,18.75,18.75,1.0,1,1,0,success,max_iterations,20.7869
clinical_medicine,CL.M.,C-EVAL,85.71,100.0,100.0,14.29,14.29,1.0,1,1,0,success,max_iterations,20.2692
urban_and_rural_planner,U.R.P.,C-EVAL,84.44,100.0,100.0,15.56,15.56,1.0,1,1,0,success,max_iterations,15.7369
gsm8k,GSM,GSM8K,89.22,,,,,,1,0,1,failed,task_failed,391.8764
lsat_ar,L.A.,AGIEval,38.42,,,,,,1,0,1,failed,task_failed,5.3361
